 Markiegi-gonzalez, Urtzi             
 Surdu, Sabina                        
 Parisi, Francesco                    
 Tekinaslan, Köksal                   
 Caniban, Laurence                    
 Hariri, Abdulraheem                  
 Jebeil, Ali                          
 Kersten, Martin                      
 Trajcevski, Goce                     
 Nes, Niels                           
 Day, David                           
 Boussaid, Omar                       
 Scuturici, Vasile-marian             
 Turhan, Kayhan                       
 Pereira, André                       
 Catarci, Tiziana                     
 Gaspar Da Silva, Mário               
 Santos, Fernando                     
 Mabroukeh, Nizar                     
 Myriam, Abdessemed                   
 Pottinger, Rachel                    
 Bella, Isa                           
 Kaur, Manpreet                       
 Blais-morin, Jérôme                  
 Pokorny, Jaroslav                    
 Alorwornu, Dickson                   
 Ne?aský, Martin                      
 Smida, Abdallah                      
 Repa, Vaclav                         
 Holubova (mlynkova), Irena           
 Mohapatra, Abhijeet                  
 Guehis, Sonia                        
 Madi, Taous                          
 Cheng, Jie                           
 Ioualalen, Malika                    
 Zhang, Daqiang                       
 Webb, Hazel                          
 Elkhalifa, Islam                     
 Aaaa, Adada                          
 Al-kateb, Mohammed                   
 Ghoreishi, Sahar                     
 Keller, Joaquin                      
 Pullum, Laura                        
 Mehan, Vineet                        
 Hevia, Gustavo                       
 Dhir, Renu                           
 Sazvar, Majid                        
 Zota, Razvan                         
 Onashoga, Adebukola                  
 Fuangkhon, Piyabute                  
 Soleimani, Ahmad                     
 Zakeryfar, Maryam                    
 Gugale, Rohit                        
 Alam, Fahim                          
 Rehman, Shafiq                       
 Khosravi, Atefeh                     
 Ketout, Hussin                       
 Agarwal, Shikha                      
 Weyns, Danny                         
 Iftikhar, Muhammad                   
 Modiri, Nasser                       
 De nicola, Rocco                     
 Miura, Takao                         
 Sakka, Mohamed Amin                  
 Rouff, Christopher                   
 Agrawal, Deepak                      
 Diaconu, Raluca                      
 Naghibzadeh, Mahmoud                 
 Saadati, Nayyereh                    
 Shershakov, Sergey                   
 Schmiegelt, Philip                   
 Roberts, Patricia                    
 Tanprasert, Thitipong                
 Lehrack, Sebastian                   
 Imamura, Makoto                      
 Seeger, Bernhard                     
 Koch, Wolfgang                       
 Wilson, John                         
 Manco, Giuseppe                      
 Ndaohialy manda-vy, Ravonimanantsoa  
 Genesereth, Michael                  
 Loreti, Michele                      
 Pozzani, Gabriele                    
 Combi, Carlo                         
 Butler, Gregory                      
 Luo, Jun                             
 Sartiani, Carlo                      
 Chen, Shih-pin                       
 Tian, Zhaofei                        
 Memon, Mukhtiar                      
 Changizi, Ata                        
 Jalbani, Akhtar                      
 Menghwar, Gordhan                    
 Mashwani, Waqar                      
 Rabah, Sleiman                       
 Srinivas, Nidhra                     
 Debbabi, Mourad                      
 Buskens, Richard                     
 Cui, Xiaohui                         
 Hinchey, Mike                        
 Ben ammar, Lassaad                   
 Cokuslu, Deniz                       
 Sadreddini, Zhaleh                   
 Brown, Joseph                        
 Jagtap, Sanjeet                      
 Raikar, Kunal                        
 Hameurlain, Abdelkader               
 Morvan, Franck                       
